"","ZFTA_NPC.like.2","ZFTA_MES_like","ZFTA_Radial.glia.like","ZFTA_NPC.like.1","ZFTA_Ependymal.like","ZFTA_Neuroepithelial_like","ZFTA_Cycling","ZFTA_NPC.like.3"
"159","IL12A-AS1","MAP2K1","AQP7","ZBTB20-AS1","TEKT3","H1F0","ATAD5","PRICKLE1"
"160","ST8SIA6","TCF7","P2RY14","MOB3B","CCDC65","CD164","MYBL2","UNC5B"
"161","OR9Q1","GOSR2","PYROXD2","GRIK2","ANKDD1B","ECH1","CEP152","DOCK8"
"162","CYP4Z1","TTC4","PTCSC3","TRIM24","UBA7","TPPP3","MCM10","PTBP3"
"163","TRPC7","DAP3","LMO2","RIC3","NLGN4Y","BRK1","FANCG","RAP1GAP2"
"164","AP000472.2","NDUFS1","RBMS2","ARHGEF2","SYDE2","MFAP4","WDHD1","FRAS1"
"165","GPR141","CADPS","GIPC1","AP000473.6","RGL3","PSMB5","TRIP13","WNT5B"
"166","AP000705.7","FXR1","PTPRJ","PTBP3","WDR65","PRAF2","CAV3","SYNJ2"
"167","MCF2","SYTL2","HRH1","DPYSL5","IQUB","TMBIM1","PCNA","EOGT"
"168","ROS1","HSPA1A","A2ML1-AS1","SEZ6","STRIP2","PTGDS","MCM4","UNC5C"
"169","RGSL1","SGSM2","FRMPD3","KIAA1211","IFI44L","CUTA","SKA3","CBFA2T3"
"170","TNR","SF3B2","GABBR2","NRXN3","LRMP","POLR2I","LIN9","PLEKHA2"
"171","AP000233.4","CORO1C","REEP1","FGD4","DDX3Y","CDK2AP2","ASPM","RASSF3"
"172","S100Z","MRPS6","ZNF605","ENOX1","PCED1B","MVP","NOSTRIN","RTTN"
"173","TMPRSS11E","CEBPZ","TMEM132B","NRXN2","CDKL2","FBLN5","GMNN","PAQR8"
"174","SLC13A1","HSPA4","MARCH3","PURG","RGS9","COL1A2","DLGAP5","PAPPA2"
"175","CR1L","DSCR3","GPR39","CORO1C","DZIP1L","CBR1","RFC2","DSCAML1"
"176","MORC1","EIF3D","PDGFRB","KLF13","SYTL3","KEAP1","KIAA1524","RAB11FIP1"
"177","DSCR4","USPL1","AVIL","TRIM36","ZMYND10-AS1","MT2A","KIF20B","SGSM1"
"178","MUC16","RAPGEF4","CLEC2D","PSMG4","CCDC147","TUBB2A","RFWD3","CHST12"
"179","RNF17","NPAT","STRC","PODXL2","RIBC1","NPC2","DEPDC1B","RP6-74O6.2"
"180","GADL1","MALT1","RFTN1","GCNT2","KIF17","EIF3I","NCAPD2","P2RX5-TAX1BP3"
"181","EGFLAM","STRADB","FGF1","NYAP2","IQCD","MEA1","ZNF726","PLEKHG2"
"182","ADAM18","OSMR","CA13","LRRTM3","CUX2","WFS1","CEP85","CD226"
"183","SPINK5","GNL2","HDHD1","EBF1","RSAD2","ARL1","E2F3","HMCN1"
"184","TPTE","TAF13","GLIPR2","PIK3R1","NWD1","PSMA4","RFC5","ADAMTSL2"
"185","GPR126","POLH","CA3","SIPA1L2","FBXO15","TIMP1","ZNF695","SOCS6"
"186","WDFY4","HSPH1","UBA7","HOMER1","MARCH10","PLIN3","SMC1A","STXBP6"
"187","PLAC1","DCAF13","TMEM170B","GPR137C","KIAA1257","CTSL","GAS2L3","USP9Y"
"188","PPAPDC1A","ABCF1","ZFYVE28","ZNF124","AP002884.3","DLK1","MASTL","TMEM38A"
"189","ADAM29","SLC38A2","NIT2","GNA12","DLEC1","SNRPB2","SPDL1","CLSTN2"
"190","SULT1E1","FDX1","VAT1L","HIF3A","DSCAM","CHMP4A","SHCBP1","KIAA1279"
"191","GCSAML","CHUK","PXDN","TOX2","COL21A1","UBE2L6","MCM6","TMEM63C"
"192","MPP7","LECT1","AP000473.6","SOGA2","EYA1","SCOC","KIF18A","TCEA3"
"193","GYPB","EEF1E1","ZFHX4-AS1","CORO7","CERKL","FAM134A","CENPO","ZNF781"
"194","SKAP1","TARS","PCSK6","SERTAD2","MUC4","HLA-DRA","CCNF","STEAP2"
"195","LST3","SEH1L","FMO1","GALNT14","TMCC3","MT3","CENPE","PDZD2"
"196","GRHL2","CWC25","SLC27A5","FOXN2","DNAH10","PIK3IP1","HCAR1","STX16-NPEPL1"
"197","MYO18B","PTP4A1","HEPH","GNG4","CCDC175","COX5A","CCNB2","SLC16A2"
"198","GS1-57L11.1","SLC4A7","GSAP","PLS1","CTA-481E9.4","CD74","KIF4A","ATP8A2"
"199","ARHGEF38","AREL1","SNTG1","SLC22A3","TTC6","CALB1","GLYATL2","WDR72"
"200","CD163","DUSP3","SAMD5","INPP5F","GLYATL1","GPC3","SGOL2","ARL10"
